repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
isomercms-frontend,fix: make image upload predictable,https://github.com/isomerpages/isomercms-frontend/pull/32,2019-10-30T15:17:01Z,2019-10-30T17:24:12Z,0,1,MERGED
isomercms-frontend,Use this.setState to set newFileName ,https://github.com/isomerpages/isomercms-frontend/pull/31,2019-10-30T14:01:39Z,2019-10-30T17:18:42Z,0,3,MERGED
isomercms-frontend,Feature: Display images in EditPage and EditCollectionPage,https://github.com/isomerpages/isomercms-frontend/pull/23,2019-10-30T10:37:34Z,2019-11-01T07:40:32Z,0,5,MERGED
isomercms-frontend,Feat: Add drag-drop functionality to homepage sections,https://github.com/isomerpages/isomercms-frontend/pull/22,2019-10-30T09:47:51Z,2019-11-01T07:15:03Z,1,2,MERGED
isomercms-frontend,Feature: Two-pane markdown editor and display for Collections pages,https://github.com/isomerpages/isomercms-frontend/pull/16,2019-10-29T10:00:01Z,2019-10-30T02:48:41Z,5,13,MERGED
isomercms-frontend,Feature: Homepage continued,https://github.com/isomerpages/isomercms-frontend/pull/15,2019-10-29T06:44:51Z,2019-10-29T13:55:52Z,1,5,MERGED
isomercms-frontend,fix: preview SVGs,https://github.com/isomerpages/isomercms-frontend/pull/14,2019-10-29T06:07:11Z,2019-10-29T06:59:38Z,0,1,MERGED
isomercms-frontend,Homepage,https://github.com/isomerpages/isomercms-frontend/pull/7,2019-10-24T08:11:23Z,2019-10-25T08:41:16Z,1,11,MERGED
isomercms-frontend,Prototype markdown editor,https://github.com/isomerpages/isomercms-frontend/pull/6,2019-10-24T05:59:09Z,2019-10-24T14:08:25Z,5,21,MERGED
isomercms-frontend,improve image page,https://github.com/isomerpages/isomercms-frontend/pull/5,2019-10-24T05:38:46Z,2019-10-24T05:47:11Z,0,2,MERGED
isomercms-frontend,Lint,https://github.com/isomerpages/isomercms-frontend/pull/4,2019-10-21T11:13:41Z,2019-10-21T11:13:50Z,0,5,MERGED
isomercms-frontend,update instructions to develop locally,https://github.com/isomerpages/isomercms-frontend/pull/3,2019-10-17T08:50:35Z,2019-10-17T08:50:40Z,0,1,MERGED
isomercms-frontend,edit Sites.js,https://github.com/isomerpages/isomercms-frontend/pull/2,2019-10-17T08:50:18Z,2019-10-17T08:50:23Z,0,1,MERGED
isomercms-frontend,rename files to documents as per `/sites/{siteName}/documents` routes,https://github.com/isomerpages/isomercms-frontend/pull/1,2019-10-17T08:22:08Z,2019-10-17T08:22:13Z,0,1,MERGED
isomercms-frontend,"[Feat - EditPage, ImagesModal] Highlight selected image",https://github.com/isomerpages/isomercms-frontend/pull/124,2019-12-26T14:11:14Z,2020-02-19T09:13:37Z,0,9,MERGED
isomercms-frontend,feat: logout button,https://github.com/isomerpages/isomercms-frontend/pull/123,2019-12-26T08:25:21Z,2019-12-27T05:52:54Z,0,1,MERGED
isomercms-frontend,feat: remove Footer button,https://github.com/isomerpages/isomercms-frontend/pull/122,2019-12-26T08:08:05Z,2019-12-27T05:50:20Z,0,1,MERGED
isomercms-frontend,feat: display create new resource button up front,https://github.com/isomerpages/isomercms-frontend/pull/121,2019-12-26T08:06:06Z,2019-12-27T05:50:39Z,0,1,MERGED
isomercms-frontend,style: login page,https://github.com/isomerpages/isomercms-frontend/pull/120,2019-12-26T07:00:08Z,2019-12-30T08:16:05Z,1,2,MERGED
isomercms-frontend,"[feat] Allow rename before image upload in EditPage, refactor ImageModal",https://github.com/isomerpages/isomercms-frontend/pull/117,2019-12-24T10:29:36Z,2019-12-26T06:45:21Z,0,2,MERGED
isomercms-frontend,feat: Revamp files tab,https://github.com/isomerpages/isomercms-frontend/pull/116,2019-12-23T06:32:23Z,2020-03-02T07:56:30Z,3,15,MERGED
isomercms-frontend,[feat] make repo commitizen-friendly,https://github.com/isomerpages/isomercms-frontend/pull/115,2019-12-22T07:31:19Z,2019-12-23T05:50:29Z,0,1,MERGED
isomercms-frontend,refactor: compact code,https://github.com/isomerpages/isomercms-frontend/pull/111,2019-12-20T06:50:47Z,2019-12-20T09:08:47Z,0,1,MERGED
isomercms-frontend,Feat/disable save when loading,https://github.com/isomerpages/isomercms-frontend/pull/110,2019-12-20T05:48:38Z,2019-12-23T17:17:04Z,1,13,MERGED
