repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
pharos,perf(pharos): import icons dynamically,https://github.com/ithaka/pharos/pull/89,2021-06-11T18:09:13Z,2021-06-14T14:58:46Z,2,5,MERGED
pharos,Image card: Fix long title overflow,https://github.com/ithaka/pharos/pull/163,2021-07-14T22:12:16Z,2021-07-15T12:05:51Z,1,3,MERGED
pharos,fix(image-card): horizontally center image within card,https://github.com/ithaka/pharos/pull/136,2021-07-01T15:09:35Z,2021-07-02T15:50:42Z,1,11,MERGED
pharos,feat(button): Add overlay variant,https://github.com/ithaka/pharos/pull/216,2021-09-09T18:11:03Z,2021-09-10T12:08:36Z,2,5,MERGED
pharos,feat(icon): Add saved icon,https://github.com/ithaka/pharos/pull/215,2021-09-08T18:33:38Z,2021-09-09T18:21:43Z,1,3,MERGED
pharos,Docs: Update image card examples to a reasonable width,https://github.com/ithaka/pharos/pull/230,2021-10-02T16:54:23Z,2021-10-04T14:01:17Z,1,2,MERGED
pharos,perf(pharos): specify package side effects,https://github.com/ithaka/pharos/pull/260,2021-11-17T13:33:44Z,2021-11-17T15:45:18Z,1,4,MERGED
pharos,docs: add bundlephobia shield to README,https://github.com/ithaka/pharos/pull/271,2021-12-07T20:21:42Z,2021-12-07T20:30:54Z,1,1,MERGED
pharos,feat(header): update slots and grid for new designs,https://github.com/ithaka/pharos/pull/295,2022-01-08T00:54:29Z,2022-01-10T21:45:40Z,2,4,MERGED
pharos,ImageCard: Use gray background on selectable disabled card,https://github.com/ithaka/pharos/pull/373,2022-07-14T15:19:50Z,2022-07-15T14:10:02Z,2,2,MERGED
pharos,"ImageCard: Selectable and disabled variants, new styling for error variant",https://github.com/ithaka/pharos/pull/366,2022-07-07T20:19:07Z,2022-07-11T17:36:53Z,10,29,MERGED
pharos,feat(site): add last updated column to status page,https://github.com/ithaka/pharos/pull/390,2022-08-16T18:54:18Z,2022-08-16T22:22:28Z,3,1,MERGED
pharos,ImageCard: add selectable treatment to subtle cards,https://github.com/ithaka/pharos/pull/408,2022-09-19T14:51:40Z,2022-09-29T15:49:35Z,5,16,MERGED
pharos,Icon: Add new fit-to-width icon,https://github.com/ithaka/pharos/pull/459,2022-11-29T13:55:43Z,2022-11-29T21:53:15Z,3,6,MERGED
pharos,Docs: Add documentation for overlay button variant,https://github.com/ithaka/pharos/pull/456,2022-11-18T01:12:19Z,2022-11-29T20:40:59Z,3,4,MERGED
pharos,Infra: add icon SVG linting using svglint,https://github.com/ithaka/pharos/pull/454,2022-11-12T04:21:08Z,2022-11-14T15:48:54Z,2,2,MERGED
pharos,Toast: make toast IDs unique,https://github.com/ithaka/pharos/pull/466,2022-12-19T20:20:56Z,2023-01-06T22:13:51Z,8,9,MERGED
pharos,Storybook: use Pharos standard colors for background options,https://github.com/ithaka/pharos/pull/464,2022-12-10T00:38:15Z,2022-12-11T16:20:25Z,2,1,MERGED
pharos,Backfill architecture decision records,https://github.com/ithaka/pharos/pull/494,2023-02-16T03:16:04Z,2023-02-17T00:37:52Z,3,4,MERGED
